カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
アーロン,OP06-023_p1,OP06-023,CHARACTER,R,4,斬,6000,0,緑,2,魚人族/東の海/アーロン一味,【登場時】自分の手札1枚を捨てることができる：相手のレストのリーダー1枚までは、次の相手のターン終了時まで、アタックできない。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,ONE PIECE CARD THE BEST【PRB-01】
アーロン,OP06-023_p2,OP06-023,CHARACTER,R,4,斬,6000,0,緑,2,魚人族/東の海/アーロン一味,【登場時】自分の手札1枚を捨てることができる：相手のレストのリーダー1枚までは、次の相手のターン終了時まで、アタックできない。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,ONE PIECE CARD THE BEST【PRB-01】
アーロン,OP06-023_p3,OP06-023,CHARACTER,R,4,斬,6000,0,緑,2,魚人族/東の海/アーロン一味,【登場時】自分の手札1枚を捨てることができる：相手のレストのリーダー1枚までは、次の相手のターン終了時まで、アタックできない。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,ONE PIECE CARD THE BEST【PRB-01】
ホーディ・ジョーンズ,OP06-035_p2,OP06-035,CHARACTER,SR,7,打,8000,0,緑,2,魚人族/新魚人海賊団,【速攻】(このカードは登場したターンにアタックできる)【登場時】相手の、キャラかドン !!合計2枚までを、レストにする。その後、自分のライフの上から1枚を手札に加える。,,ONE PIECE CARD THE BEST【PRB-01】
リューマ,OP06-036_p1,OP06-036,CHARACTER,R,4,斬,6000,0,緑,2,ワノ国/スリラーバーク海賊団,【登場時】/【KO時】相手のレストのコスト4以下のキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST【PRB-01】
リューマ,OP06-036_p2,OP06-036,CHARACTER,R,4,斬,6000,0,緑,2,ワノ国/スリラーバーク海賊団,【登場時】/【KO時】相手のレストのコスト4以下のキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST【PRB-01】
リューマ,OP06-036_p3,OP06-036,CHARACTER,R,4,斬,6000,0,緑,2,ワノ国/スリラーバーク海賊団,【登場時】/【KO時】相手のレストのコスト4以下のキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST【PRB-01】
一大・三千・大千・世界,OP06-038_p2,OP06-038,EVENT,UC,1,,-,0,緑,2,麦わらの一味/ドレスローザ,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のレストのカードが8枚以上ある場合、そのカードを、このバトル中、パワー+2000。,【トリガー】相手のレストのコスト3以下のキャラ1枚までを、KOする。,ONE PIECE CARD THE BEST【PRB-01】
一大・三千・大千・世界,OP06-038_p3,OP06-038,EVENT,UC,1,,-,0,緑,2,麦わらの一味/ドレスローザ,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のレストのカードが8枚以上ある場合、そのカードを、このバトル中、パワー+2000。,【トリガー】相手のレストのコスト3以下のキャラ1枚までを、KOする。,ONE PIECE CARD THE BEST【PRB-01】
天叢雲剣,OP06-056_p1,OP06-056,EVENT,UC,2,,-,0,青,2,海軍,【メイン】相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、持ち主のデッキの下に好きな順番で置く。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST【PRB-01】
天叢雲剣,OP06-056_p2,OP06-056,EVENT,UC,2,,-,0,青,2,海軍,【メイン】相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、持ち主のデッキの下に好きな順番で置く。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・イチジ,OP06-060_p1,OP06-060,CHARACTER,C,4,打,4000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト7の「ヴィンスモーク・イチジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・イチジ,OP06-060_p2,OP06-060,CHARACTER,C,4,打,4000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト7の「ヴィンスモーク・イチジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ニジ,OP06-064_p1,OP06-064,CHARACTER,C,3,特,3000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト5の「ヴィンスモーク・ニジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ニジ,OP06-064_p2,OP06-064,CHARACTER,C,3,特,3000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト5の「ヴィンスモーク・ニジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ニジ,OP06-065_p1,OP06-065,CHARACTER,R,5,特,6000,1000,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下の場合、以下から1つを選ぶ。・相手のコスト2以下のキャラ1枚までを、KOする。・相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ニジ,OP06-065_p2,OP06-065,CHARACTER,R,5,特,6000,1000,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下の場合、以下から1つを選ぶ。・相手のコスト2以下のキャラ1枚までを、KOする。・相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ニジ,OP06-065_p3,OP06-065,CHARACTER,R,5,特,6000,1000,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下の場合、以下から1つを選ぶ。・相手のコスト2以下のキャラ1枚までを、KOする。・相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ヨンジ,OP06-066_p1,OP06-066,CHARACTER,C,2,打,2000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト4の「ヴィンスモーク・ヨンジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ヨンジ,OP06-066_p2,OP06-066,CHARACTER,C,2,打,2000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト4の「ヴィンスモーク・ヨンジ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ヨンジ,OP06-067_p1,OP06-067,CHARACTER,R,4,打,5000,1000,紫,2,ヴィンスモーク家/ジェルマ66,自分の場のドン !!が相手の場のドン !!の枚数以下の場合、このキャラのパワー+1000。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ヨンジ,OP06-067_p2,OP06-067,CHARACTER,R,4,打,5000,1000,紫,2,ヴィンスモーク家/ジェルマ66,自分の場のドン !!が相手の場のドン !!の枚数以下の場合、このキャラのパワー+1000。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・ヨンジ,OP06-067_p3,OP06-067,CHARACTER,R,4,打,5000,1000,紫,2,ヴィンスモーク家/ジェルマ66,自分の場のドン !!が相手の場のドン !!の枚数以下の場合、このキャラのパワー+1000。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・レイジュ,OP06-068_p1,OP06-068,CHARACTER,C,2,特,2000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト4の「ヴィンスモーク・レイジュ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・レイジュ,OP06-068_p2,OP06-068,CHARACTER,C,2,特,2000,1000,紫,2,ヴィンスモーク家/ジェルマ66,"【起動メイン】ドン !!-1(自分の場のドン !!を指定の数ドン !!デッキに戻すことができる),このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ジェルマ66》を持つ場合、自分の手札かトラッシュのコスト4の「ヴィンスモーク・レイジュ」1枚までを、登場させる。",,ONE PIECE CARD THE BEST【PRB-01】
ヴィンスモーク・レイジュ,OP06-069_p3,OP06-069,CHARACTER,SR,4,特,5000,1000,紫,2,ヴィンスモーク家/ジェルマ66,【登場時】自分の場のドン !!が相手の場のドン !!の枚数以下でかつ、自分の手札が5枚以下の場合、カード2枚を引く。,,ONE PIECE CARD THE BEST【PRB-01】
ジェルマ王国,OP06-079_p1,OP06-079,STAGE,C,1,,-,0,紫,2,ジェルマ王国,【起動メイン】自分の手札1枚を捨て、このステージをレストにできる：自分のデッキの上から3枚を見て、『ジェルマ』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
ジェルマ王国,OP06-079_p2,OP06-079,STAGE,C,1,,-,0,紫,2,ジェルマ王国,【起動メイン】自分の手札1枚を捨て、このステージをレストにできる：自分のデッキの上から3枚を見て、『ジェルマ』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
ジェルマ王国,OP06-079_p3,OP06-079,STAGE,C,1,,-,0,紫,2,ジェルマ王国,【起動メイン】自分の手札1枚を捨て、このステージをレストにできる：自分のデッキの上から3枚を見て、『ジェルマ』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
ゲッコー・モリア,OP06-086_p2,OP06-086,CHARACTER,SR,8,特,9000,0,黒,2,王下七武海/スリラーバーク海賊団,【登場時】自分のトラッシュのコスト4以下のキャラカード1枚までとコスト2以下のキャラカード1枚までを選び、1枚を登場させ、残りをレストで登場させる。,,ONE PIECE CARD THE BEST【PRB-01】
ビクトリア・シンドリー,OP06-091_p1,OP06-091,CHARACTER,UC,1,斬,2000,2000,黒,2,スリラーバーク海賊団,【登場時】自分のリーダーが特徴《スリラーバーク海賊団》を持つ場合、デッキの上から5枚をトラッシュに置く。,,ONE PIECE CARD THE BEST【PRB-01】
ビクトリア・シンドリー,OP06-091_p2,OP06-091,CHARACTER,UC,1,斬,2000,2000,黒,2,スリラーバーク海賊団,【登場時】自分のリーダーが特徴《スリラーバーク海賊団》を持つ場合、デッキの上から5枚をトラッシュに置く。,,ONE PIECE CARD THE BEST【PRB-01】
イヌアラシ,OP06-100_p1,OP06-100,CHARACTER,UC,4,斬,5000,1000,黄,2,ミンク族/ワノ国/赤鞘九人男,【ドン !!×2】【アタック時】自分の手札1枚を捨てることができる：相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、KOする。,【トリガー】相手のライフが3枚以下の場合、このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
イヌアラシ,OP06-100_p2,OP06-100,CHARACTER,UC,4,斬,5000,1000,黄,2,ミンク族/ワノ国/赤鞘九人男,【ドン !!×2】【アタック時】自分の手札1枚を捨てることができる：相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、KOする。,【トリガー】相手のライフが3枚以下の場合、このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
光月日和,OP06-106_p2,OP06-106,CHARACTER,SR,2,知,-,2000,黄,2,ワノ国/光月家,【登場時】自分のライフの上か下から1枚を手札に加えることができる：自分の手札1枚までを、ライフの上に加える。,,ONE PIECE CARD THE BEST【PRB-01】
ネコマムシ,OP06-110_p1,OP06-110,CHARACTER,UC,4,斬,5000,1000,黄,2,ミンク族/ワノ国/赤鞘九人男,【ドン !!×2】このキャラは相手のアクティブのキャラにもアタックできる。,【トリガー】相手のライフが3枚以下の場合、このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
ネコマムシ,OP06-110_p2,OP06-110,CHARACTER,UC,4,斬,5000,1000,黄,2,ミンク族/ワノ国/赤鞘九人男,【ドン !!×2】このキャラは相手のアクティブのキャラにもアタックできる。,【トリガー】相手のライフが3枚以下の場合、このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
ワイパー,OP06-114_p1,OP06-114,CHARACTER,UC,5,射,7000,0,黄,2,空島/シャンドラの戦士,【登場時】コスト1のステージ1枚を持ち主のデッキの下に置くことができる：自分のデッキの上から5枚を見て、「アッパーヤード」か特徴《シャンドラの戦士》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
ワイパー,OP06-114_p2,OP06-114,CHARACTER,UC,5,射,7000,0,黄,2,空島/シャンドラの戦士,【登場時】コスト1のステージ1枚を持ち主のデッキの下に置くことができる：自分のデッキの上から5枚を見て、「アッパーヤード」か特徴《シャンドラの戦士》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
コビー,P-014_p1,P-014,CHARACTER,P,3,打,3000,0,赤,1,FILM/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
コビー,P-014_p2,P-014,CHARACTER,P,3,打,3000,0,赤,1,FILM/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
バルトロメオ,P-029_p2,P-029,CHARACTER,P,2,特,3000,1000,緑,1,FILM/超新星/バルトクラブ,【自分のターン終了時】このキャラをレストにできる：自分の「バルトロメオ」以外の特徴《FILM》を持つキャラ1枚までを、アクティブにする。,,ONE PIECE CARD THE BEST【PRB-01】
バルトロメオ,P-029_p3,P-029,CHARACTER,P,2,特,3000,1000,緑,1,FILM/超新星/バルトクラブ,【自分のターン終了時】このキャラをレストにできる：自分の「バルトロメオ」以外の特徴《FILM》を持つキャラ1枚までを、アクティブにする。,,ONE PIECE CARD THE BEST【PRB-01】
ナミ,P-053_p2,P-053,CHARACTER,P,1,知,1000,2000,青,2,麦わらの一味,【登場時】自分の手札が3枚以下の場合、相手のコスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST【PRB-01】
ナミ,P-053_p3,P-053,CHARACTER,P,1,知,1000,2000,青,2,麦わらの一味,【登場時】自分の手札が3枚以下の場合、相手のコスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST【PRB-01】
モンキー・D・ルフィ,P-055_p2,P-055,CHARACTER,P,4,打,5000,1000,青,2,麦わらの一味,【登場時】自分の手札2枚を捨てることができる：相手は自身のキャラ1枚を、持ち主のデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
モンキー・D・ルフィ,P-055_p3,P-055,CHARACTER,P,4,打,5000,1000,青,2,麦わらの一味,【登場時】自分の手札2枚を捨てることができる：相手は自身のキャラ1枚を、持ち主のデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
サンジ,PRB01-001_p1,PRB01-001,LEADER,L,-,打,5000,0,赤,3,麦わらの一味,【起動メイン】【ターン1回】自分のコスト8以下の【登場時】効果を持たないキャラ1枚までは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ONE PIECE CARD THE BEST【PRB-01】
トニートニー・チョッパー,ST01-006_p8,ST01-006,CHARACTER,C,1,打,1000,0,赤,1,動物/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
トニートニー・チョッパー,ST01-006_p9,ST01-006,CHARACTER,C,1,打,1000,0,赤,1,動物/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
トニートニー・チョッパー,ST01-006_p10,ST01-006,CHARACTER,C,1,打,1000,0,赤,1,動物/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
毛皮強化,ST01-014_p2,ST01-014,EVENT,C,1,,-,0,赤,1,動物/麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+3000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ONE PIECE CARD THE BEST【PRB-01】
毛皮強化,ST01-014_p3,ST01-014,EVENT,C,1,,-,0,赤,1,動物/麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+3000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ONE PIECE CARD THE BEST【PRB-01】
カポネ・ベッジ,ST02-004_p3,ST02-004,CHARACTER,C,1,特,1000,0,緑,1,超新星/ファイアタンク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
カポネ・ベッジ,ST02-004_p4,ST02-004,CHARACTER,C,1,特,1000,0,緑,1,超新星/ファイアタンク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
カポネ・ベッジ,ST02-004_p5,ST02-004,CHARACTER,C,1,特,1000,0,緑,1,超新星/ファイアタンク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
ジュラキュール・ミホーク,ST03-005_p4,ST03-005,CHARACTER,C,4,斬,5000,2000,青,1,王下七武海,【ドン!!×1】【アタック時】カード2枚を引き、自分の手札2枚を捨てる。,,ONE PIECE CARD THE BEST【PRB-01】
ジュラキュール・ミホーク,ST03-005_p5,ST03-005,CHARACTER,C,4,斬,5000,2000,青,1,王下七武海,【ドン!!×1】【アタック時】カード2枚を引き、自分の手札2枚を捨てる。,,ONE PIECE CARD THE BEST【PRB-01】
トラファルガー・ロー,ST03-008_p7,ST03-008,CHARACTER,C,1,斬,1000,0,青,1,王下七武海/ハートの海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
トラファルガー・ロー,ST03-008_p8,ST03-008,CHARACTER,C,1,斬,1000,0,青,1,王下七武海/ハートの海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE CARD THE BEST【PRB-01】
ボア・ハンコック,ST03-013_p2,ST03-013,CHARACTER,C,3,特,1000,1000,青,1,王下七武海/九蛇海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
ボア・ハンコック,ST03-013_p3,ST03-013,CHARACTER,C,3,特,1000,1000,青,1,王下七武海/九蛇海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
ボア・ハンコック,ST03-013_p4,ST03-013,CHARACTER,C,3,特,1000,1000,青,1,王下七武海/九蛇海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
カイドウ,ST04-003_p4,ST04-003,CHARACTER,SR,9,打,10000,0,紫,1,四皇/百獣海賊団,【登場時】ドン!!-5(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のコスト6以下のキャラ1枚までを、KOし、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ONE PIECE CARD THE BEST【PRB-01】
クイーン,ST04-005_p4,ST04-005,CHARACTER,C,5,打,6000,1000,紫,1,百獣海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：カード2枚を引き、自分の手札1枚を捨てる。,,ONE PIECE CARD THE BEST【PRB-01】
クイーン,ST04-005_p5,ST04-005,CHARACTER,C,5,打,6000,1000,紫,1,百獣海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：カード2枚を引き、自分の手札1枚を捨てる。,,ONE PIECE CARD THE BEST【PRB-01】
熱息,ST04-016_p3,ST04-016,EVENT,C,1,,-,0,紫,1,四皇/百獣海賊団,【カウンター】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。,,ONE PIECE CARD THE BEST【PRB-01】
熱息,ST04-016_p4,ST04-016,EVENT,C,1,,-,0,紫,1,四皇/百獣海賊団,【カウンター】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。,,ONE PIECE CARD THE BEST【PRB-01】
ヘルメッポ,ST06-010_p1,ST06-010,CHARACTER,C,2,斬,3000,1000,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-3。,,ONE PIECE CARD THE BEST【PRB-01】
ヘルメッポ,ST06-010_p2,ST06-010,CHARACTER,C,2,斬,3000,1000,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-3。,,ONE PIECE CARD THE BEST【PRB-01】
衝撃波,ST06-014_p1,ST06-014,EVENT,C,2,,-,0,黒,1,海軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、相手のアクティブのコスト3以下のキャラ1枚までを、KOする。,【トリガー】相手のコスト4以下のキャラ1枚までを、KOする。,ONE PIECE CARD THE BEST【PRB-01】
衝撃波,ST06-014_p2,ST06-014,EVENT,C,2,,-,0,黒,1,海軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、相手のアクティブのコスト3以下のキャラ1枚までを、KOする。,【トリガー】相手のコスト4以下のキャラ1枚までを、KOする。,ONE PIECE CARD THE BEST【PRB-01】
シャーロット・ブリュレ,ST07-007_p2,ST07-007,CHARACTER,C,3,特,1000,1000,黄,1,ビッグ・マム海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
シャーロット・ブリュレ,ST07-007_p3,ST07-007,CHARACTER,C,3,特,1000,1000,黄,1,ビッグ・マム海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ONE PIECE CARD THE BEST【PRB-01】
鳴鏑,ST09-014_p1,ST09-014,EVENT,C,1,,-,0,黄,1,ワノ国,【カウンター】自分のライフが2枚以下の場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-3000。,【トリガー】自分の手札2枚を捨てることができる：自分のデッキの上から1枚までを、ライフの上に加える。,ONE PIECE CARD THE BEST【PRB-01】
鳴鏑,ST09-014_p2,ST09-014,EVENT,C,1,,-,0,黄,1,ワノ国,【カウンター】自分のライフが2枚以下の場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-3000。,【トリガー】自分の手札2枚を捨てることができる：自分のデッキの上から1枚までを、ライフの上に加える。,ONE PIECE CARD THE BEST【PRB-01】
トラファルガー・ロー,ST10-010_p3,ST10-010,CHARACTER,SR,4,斬,5000,1000,紫,2,ハートの海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手の手札が7枚以上ある場合、相手の手札2枚を捨てる。,,ONE PIECE CARD THE BEST【PRB-01】
デュバル,ST12-014_p1,ST12-014,CHARACTER,C,2,打,1000,1000,青,2,トビウオライダーズ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のデッキの上から3枚を見て、好きな順番に並び替え、デッキの上か下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
デュバル,ST12-014_p2,ST12-014,CHARACTER,C,2,打,1000,1000,青,2,トビウオライダーズ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のデッキの上から3枚を見て、好きな順番に並び替え、デッキの上か下に置く。,,ONE PIECE CARD THE BEST【PRB-01】
うるせェ!!!いこう!!!!,EB01-009_p1,EB01-009,EVENT,C,1,,-,0,赤,2,ドラム王国/麦わらの一味,【カウンター】自分のデッキの上から5枚を見て、コスト3以下の特徴《動物》を持つキャラカード1枚までを、登場させる。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
スクラッチメン・アプー,EB01-015_p2,EB01-015,CHARACTER,R,1,特,1000,2000,緑,2,超新星/オンエア海賊団,【登場時】相手のコスト2以下のキャラ1枚までを、レストにする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
山さん,EB01-018_p1,EB01-018,CHARACTER,C,5,打,7000,1000,緑,2,動物/ワノ国,-,,ONE PIECE CARD THE BEST vol.2【PRB-02】
オカマ道,EB01-038_p1,EB01-038,EVENT,C,1,,-,0,紫,2,B・W,【カウンター】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分のリーダーが『B・W』を含む特徴を持つ場合、自分のキャラ1枚を選ぶ。選んだキャラにアタックの対象を変更する。,【トリガー】ドン‼-1：カード2枚を引く。,ONE PIECE CARD THE BEST vol.2【PRB-02】
指銃,EB01-051_p1,EB01-051,EVENT,R,4,,-,0,黒,2,CP9,【メイン】自分のデッキの上から2枚をトラッシュに置くことができる：相手のコスト5以下のキャラ1枚までを、KOする。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST vol.2【PRB-02】
我が神なり,EB01-060_p1,EB01-060,EVENT,C,4,,-,0,黄,2,空島,【メイン】自分の、手札かトラッシュからコスト7以下の「エネル」1枚までを、登場させる。その後、自分のライフが1枚になるようにライフの上からトラッシュに置く。,【トリガー】カード2枚を引き、自分の手札1枚を捨てる。,ONE PIECE CARD THE BEST vol.2【PRB-02】
