カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報,画像URL
ドン!!カード（マルコモチーフ・スーパーパラレル）,DON-don_card_prb02-024sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-024sp.webp
ドン!!カード（革命軍モチーフ・通常）,DON-don_card_prb02-025,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-025.webp
ドン!!カード（革命軍モチーフ・パラレル）,DON-don_card_prb02-025p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-025p.webp
ドン!!カード（革命軍モチーフ・スーパーパラレル）,DON-don_card_prb02-025sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-025sp.webp
ドン!!カード（スネイクマンモチーフ・通常）,DON-don_card_prb02-026,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-026.webp
ドン!!カード（スネイクマンモチーフ・パラレル）,DON-don_card_prb02-026p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-026p.webp
ドン!!カード（スネイクマンモチーフ・スーパーパラレル）,DON-don_card_prb02-026sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-026sp.webp
ドン!!カード（ニカルフィモチーフ・通常）,DON-don_card_prb02-027,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-027.webp
ドン!!カード（ニカルフィモチーフ・パラレル）,DON-don_card_prb02-027p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-027p.webp
ドン!!カード（ニカルフィモチーフ・スーパーパラレル）,DON-don_card_prb02-027sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-027sp.webp
ドン!!カード（ヤマトモチーフ・通常）,DON-don_card_prb02-028,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-028.webp
ドン!!カード（ヤマトモチーフ・パラレル）,DON-don_card_prb02-028p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-028p.webp
ドン!!カード（ヤマトモチーフ・スーパーパラレル）,DON-don_card_prb02-028sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-028sp.webp
ドン!!カード（ODYSSEYモチーフ・通常）,DON-don_card_prb02-029,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-029.webp
ドン!!カード（ODYSSEYモチーフ・パラレル）,DON-don_card_prb02-029p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-029p.webp
ドン!!カード（ODYSSEYモチーフ・スーパーパラレル）,DON-don_card_prb02-029sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-029sp.webp
ドン!!カード（ロブ・ルッチモチーフ・通常）,DON-don_card_prb02-030,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-030.webp
ドン!!カード（ロブ・ルッチモチーフ・パラレル）,DON-don_card_prb02-030p,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-030p.webp
ドン!!カード（ロブ・ルッチモチーフ・スーパーパラレル）,DON-don_card_prb02-030sp,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,プレミアムブースター【PRB-02】,https://tierone-media-op.com/wp-content/uploads/don_card_prb02-030sp.webp
ドン!!カード（優勝記念品）,DON-don-asia002,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia002.webp
ドン!!カード（2位記念品）,DON-don-asia003,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia003.webp
ドン!!カード（3位記念品）,DON-don-asia004,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia004.webp
ドン!!カード（優勝記念品）,DON-don-asia002_001,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia002.webp
ドン!!カード（2位記念品）,DON-don-asia003_001,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia003.webp
ドン!!カード（3位記念品）,DON-don-asia004_001,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia004.webp
ドン!!カード（参加記念品）,DON-don-asia001,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia001.webp
ドン!!カード（参加記念品）,DON-don-asia001_001,DON,DON,-,-,-,-,-,-,-,ドン!!カード,-,-,その他,https://tierone-media-op.com/wp-content/uploads/don-asia001.webp
