カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
バスコ・ショット,OP09-091,OP09-091,CHARACTER,C,2,特,2000,1000,黒,3,黒ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ブースターパック 新たなる皇帝【OP-09】
マーシャル・D・ティーチ,OP09-092,OP09-092,CHARACTER,C,3,斬,4000,1000,黒,3,白ひげ海賊団,【起動メイン】このキャラをレストにできる：自分の手札が相手の手札より3枚以上少ない場合、カード2枚を引き、自分の手札1枚を捨てる。,,ブースターパック 新たなる皇帝【OP-09】
マーシャル・D・ティーチ,OP09-093,OP09-093,CHARACTER,SR,10,特,12000,0,黒,3,四皇/黒ひげ海賊団,【ブロッカー】【起動メイン】【ターン1回】自分のリーダーが特徴《黒ひげ海賊団》を持ち、このキャラが登場したターンの場合、相手のリーダー1枚までを、このターン中、効果を無効にする。その後、相手のキャラ1枚までを、次の相手のターン終了時まで、効果を無効にし、そのキャラはアタックできない。,,ブースターパック 新たなる皇帝【OP-09】
桃ひげ,OP09-094,OP09-094,CHARACTER,C,3,斬,5000,1000,黒,3,桃ひげ海賊団/黒ひげ海賊団傘下,-,,ブースターパック 新たなる皇帝【OP-09】
ラフィット,OP09-095,OP09-095,CHARACTER,R,1,打,1000,1000,黒,3,黒ひげ海賊団,【起動メイン】自分のドン‼1枚とこのキャラをレストにできる：自分のデッキの上から5枚を見て、特徴《黒ひげ海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 新たなる皇帝【OP-09】
おれの時代だァ!!!!,OP09-096,OP09-096,EVENT,R,1,,-,0,黒,3,黒ひげ海賊団,【メイン】自分のデッキの上から3枚を見て、「おれの時代だァ!!!!」以外の特徴《黒ひげ海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りをトラッシュに置く。,【トリガー】このカードの【メイン】効果を発動する。,ブースターパック 新たなる皇帝【OP-09】
闇水,OP09-097,OP09-097,EVENT,C,2,,-,0,黒,3,黒ひげ海賊団,【カウンター】相手のリーダーかキャラ1枚までを、このターン中、効果を無効にし、パワー-4000。,【トリガー】相手のリーダーかキャラ1枚までを、このターン中、効果を無効にする。,ブースターパック 新たなる皇帝【OP-09】
闇穴道,OP09-098,OP09-098,EVENT,UC,4,,-,0,黒,3,黒ひげ海賊団,【メイン】自分のリーダーが特徴《黒ひげ海賊団》を持つ場合、相手のキャラ1枚までを、このターン中、効果を無効にする。その後、そのキャラのコストが4以下の場合、KOする。,【トリガー】相手のリーダーかキャラ1枚までを、このターン中、効果を無効にする。,ブースターパック 新たなる皇帝【OP-09】
ハチノス,OP09-099,OP09-099,STAGE,C,1,,-,0,黒,3,黒ひげ海賊団,【起動メイン】自分の手札1枚を捨て、このステージをレストにできる：自分のデッキの上から3枚を見て、特徴《黒ひげ海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 新たなる皇帝【OP-09】
カラス,OP09-100,OP09-100,CHARACTER,UC,3,特,4000,1000,黄,3,革命軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】自分のリーダーが特徴《革命軍》を持ち、お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
クザン,OP09-101,OP09-101,CHARACTER,R,4,特,5000,1000,黄,3,海軍,【登場時】相手のコスト3以下のキャラ1枚を、相手のライフの上か下に表向きで置く：相手は自身の手札1枚を捨てる。,,ブースターパック 新たなる皇帝【OP-09】
クローバー博士,OP09-102,OP09-102,CHARACTER,R,1,知,-,2000,黄,3,オハラ,【登場時】自分のリーダーが「ニコ・ロビン」の場合、自分のデッキの上から3枚を見て、【トリガー】を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【登場時】効果を発動する。,ブースターパック 新たなる皇帝【OP-09】
コアラ,OP09-103,OP09-103,CHARACTER,SR,6,打,6000,0,黄,3,革命軍,【ブロッカー】【登場時】自分のライフの上か下から1枚を手札に加えることができる：自分の手札からコスト4以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。登場させた場合、カード1枚を引く。,,ブースターパック 新たなる皇帝【OP-09】
サボ,OP09-104,OP09-104,CHARACTER,R,7,特,7000,1000,黄,3,革命軍,【登場時】自分の手札から特徴《革命軍》を持つキャラカード1枚までを、ライフの上に表向きで加える。その後、自分のライフが2枚以上の場合、自分のライフの上か下から1枚を手札に加える。,【トリガー】自分のリーダーが多色の場合、カード2枚を引く。,ブースターパック 新たなる皇帝【OP-09】
サンジ,OP09-105,OP09-105,CHARACTER,C,5,打,6000,1000,黄,3,エッグヘッド/麦わらの一味,-,【トリガー】自分のリーダーが特徴《エッグヘッド》を持つ場合、自分のデッキの上から1枚までを、ライフの上に加える。その後、自分の手札2枚を捨てる。,ブースターパック 新たなる皇帝【OP-09】
ニコ・オルビア,OP09-106,OP09-106,CHARACTER,C,1,知,-,2000,黄,3,オハラ,【登場時】自分のリーダーの「ニコ・ロビン」1枚までを、このターン中、パワー+3000。,【トリガー】自分のリーダーが「ニコ・ロビン」の場合、カード3枚を引き、自分の手札2枚を捨てる。,ブースターパック 新たなる皇帝【OP-09】
ニコ・ロビン,OP09-107,OP09-107,CHARACTER,R,6,打,6000,1000,黄,3,麦わらの一味,【登場時】相手のライフが3枚以上の場合、相手のライフの上から1枚までを、トラッシュに置く。,【トリガー】自分の手札からコスト3以下の黄のキャラカード1枚までを、登場させる。,ブースターパック 新たなる皇帝【OP-09】
バーソロミュー・くま,OP09-108,OP09-108,CHARACTER,UC,4,打,5000,2000,黄,3,王下七武海/革命軍,-,【トリガー】自分のリーダーが特徴《革命軍》を持ち、お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
ハグワール・D・サウロ,OP09-109,OP09-109,CHARACTER,UC,3,打,5000,0,黄,3,オハラ/巨人族/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】自分のリーダーが「ニコ・ロビン」の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
ピエール,OP09-110,OP09-110,CHARACTER,C,2,打,2000,1000,黄,3,動物/空島,【登場時】カード2枚を引き、自分の手札2枚を捨てる。,【トリガー】このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
ブルック,OP09-111,OP09-111,CHARACTER,C,5,斬,6000,1000,黄,3,エッグヘッド/麦わらの一味,-,【トリガー】自分のリーダーが特徴《エッグヘッド》を持ち、相手の手札が6枚以上の場合、相手は自身の手札2枚を捨てる。,ブースターパック 新たなる皇帝【OP-09】
ベロ・ベティ,OP09-112,OP09-112,CHARACTER,C,3,特,4000,1000,黄,3,革命軍,【登場時】自分のライフが2枚以下の場合、カード1枚を引く。,【トリガー】自分のリーダーが特徴《革命軍》を持ち、お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
モーリー,OP09-113,OP09-113,CHARACTER,C,4,特,6000,1000,黄,3,巨人族/革命軍,-,,ブースターパック 新たなる皇帝【OP-09】
リンドバーグ,OP09-114,OP09-114,CHARACTER,C,3,特,4000,1000,黄,3,ミンク族/革命軍,【登場時】お互いのライフの合計枚数が5枚以下の場合、相手のパワー2000以下のキャラ1枚までを、KOする。,【トリガー】お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】
アイス塊「両棘矛」,OP09-115,OP09-115,EVENT,UC,1,,-,0,黄,3,海軍,【メイン】相手のコスト3以下の【トリガー】を持つキャラ1枚までを、KOする。,【トリガー】カード1枚を引く。,ブースターパック 新たなる皇帝【OP-09】
”奇跡”ナメんじゃないよォ!!!!,OP09-116,OP09-116,EVENT,C,1,,-,0,黄,3,革命軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。,【トリガー】自分の手札からコスト4以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,ブースターパック 新たなる皇帝【OP-09】
デレシ!!,OP09-117,OP09-117,EVENT,R,3,,-,0,黄,3,オハラ,【メイン】自分のデッキの上から5枚を見て、「デレシ!!」以外の【トリガー】を持つカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】カード1枚を引く。,ブースターパック 新たなる皇帝【OP-09】
ゴール・D・ロジャー,OP09-118,OP09-118,CHARACTER,SEC,10,斬,13000,0,赤,3,海賊王/ロジャー海賊団,【速攻】(このカードは登場したターンにアタックできる)相手が【ブロッカー】を発動した時、自分か相手のライフが0枚の場合、自分はゲームに勝利する。,,ブースターパック 新たなる皇帝【OP-09】
モンキー・D・ルフィ,OP09-119,OP09-119,CHARACTER,SEC,9,打,10000,0,紫,3,麦わらの一味,【登場時】自分の場のドン‼を1枚以上ドン‼デッキに戻すことができる：カード1枚を引き、このキャラは、このターン中、【速攻】を得る。,,ブースターパック 新たなる皇帝【OP-09】
スモーカー,OP10-001,OP10-001,LEADER,L,-,斬,5000,0,赤/緑,3,パンクハザード/海軍,【相手のターン中】自分の特徴《海軍》か《パンクハザード》を持つキャラすべてを、パワー+1000。【起動メイン】【ターン1回】自分のパワー7000以上のキャラがいる場合、自分のドン‼2枚までを、アクティブにする。,,ブースターパック 王族の血統【OP-10】
シーザー・クラウン,OP10-002,OP10-002,LEADER,L,-,特,5000,0,赤/青,3,科学者/パンクハザード,【ドン‼×2】【アタック時】自分のコスト2以上の特徴《パンクハザード》を持つキャラ1枚を、持ち主の手札に戻すことができる：相手のパワー4000以下のキャラ1枚までを、KOする。,,ブースターパック 王族の血統【OP-10】
シュガー,OP10-003,OP10-003,LEADER,L,-,特,5000,0,赤/紫,3,ドンキホーテ海賊団,【自分のターン終了時】自分のパワー6000以上の特徴《ドンキホーテ海賊団》を持つキャラがいる場合、自分のドン‼1枚までを、アクティブにする。【相手のターン中】【ターン1回】自分がイベントを発動した時、ドン‼デッキからドン‼1枚までを、アクティブで追加する。,,ブースターパック 王族の血統【OP-10】
ヴェルゴ,OP10-004,OP10-004,CHARACTER,R,1,打,2000,1000,赤,3,パンクハザード/海軍/ドンキホーテ海賊団,【登場時】自分のデッキの上から5枚を見て、「ヴェルゴ」以外の特徴《パンクハザード》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 王族の血統【OP-10】
サンジ,OP10-005,OP10-005,CHARACTER,SR,3,特,3000,1000,赤,3,パンクハザード/麦わらの一味,【自分のターン中】このキャラのパワー+3000。【KO時】カード1枚を引く。,,ブースターパック 王族の血統【OP-10】
シーザー・クラウン,OP10-006,OP10-006,CHARACTER,UC,7,特,7000,0,赤,3,科学者/パンクハザード,【登場時】自分のデッキの上から5枚を見て、「スマイリー」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分の手札から「スマイリー」1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
シーザー兵,OP10-007,OP10-007,CHARACTER,UC,3,知,4000,1000,赤,3,パンクハザード,【登場時】自分の手札からコスト2以下の特徴《パンクハザード》を持つキャラカード1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
スコッチ,OP10-008,OP10-008,CHARACTER,C,2,射,1000,1000,赤,3,パンクハザード,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の「ロック」がいない場合、自分の手札から「ロック」1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
スマイリー,OP10-009,OP10-009,CHARACTER,R,5,特,6000,1000,赤,3,生物兵器/パンクハザード,【登場時】自分のリーダーが特徴《パンクハザード》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-3000。,,ブースターパック 王族の血統【OP-10】
チャドロス・ヒゲリゲス(茶ひげ),OP10-010,OP10-010,CHARACTER,C,3,斬,5000,0,赤,3,パンクハザード/茶ひげ海賊団,【アタック時】自分のパワー6000以上のキャラが1枚以下の場合、このキャラは、このターン中、パワー+1000。,,ブースターパック 王族の血統【OP-10】
トニートニー・チョッパー,OP10-011,OP10-011,CHARACTER,R,4,打,4000,2000,赤,3,パンクハザード/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】このキャラのパワー+2000。,,ブースターパック 王族の血統【OP-10】
ドラゴン十三號,OP10-012,OP10-012,CHARACTER,C,2,特,2000,1000,赤,3,生物兵器/パンクハザード,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ブースターパック 王族の血統【OP-10】
ナミ,OP10-013,OP10-013,CHARACTER,C,5,打,7000,1000,赤,3,パンクハザード/麦わらの一味,-,,ブースターパック 王族の血統【OP-10】
フランキー,OP10-014,OP10-014,CHARACTER,C,6,打,8000,1000,赤,3,動物/パンクハザード/麦わらの一味,-,,ブースターパック 王族の血統【OP-10】
モチャ,OP10-015,OP10-015,CHARACTER,UC,3,打,3000,2000,赤,3,パンクハザード,【登場時】相手のキャラ1枚までを、このターン中、パワー-1000。,,ブースターパック 王族の血統【OP-10】
モネ,OP10-016,OP10-016,CHARACTER,SR,2,特,3000,1000,赤,3,パンクハザード/ドンキホーテ海賊団,【起動メイン】このキャラをレストにできる：自分のリーダーかキャラ1枚にレストのドン‼2枚までを、付与する。その後、相手のキャラ1枚までを、このターン中、パワー-1000。,,ブースターパック 王族の血統【OP-10】
ロック,OP10-017,OP10-017,CHARACTER,C,2,射,3000,1000,赤,3,パンクハザード,【登場時】自分の「スコッチ」がいない場合、自分の手札から「スコッチ」1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
カマクラ十草紙,OP10-018,OP10-018,EVENT,C,2,,-,0,赤,3,パンクハザード/ドンキホーテ海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+3000。その後、相手のリーダーかキャラ1枚までを、このターン中、パワー-2000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ブースターパック 王族の血統【OP-10】
神避,OP10-019,OP10-019,EVENT,R,1,,-,0,赤,3,四皇/赤髪海賊団,【メイン】自分のドン‼5枚をレストにできる：相手のパワー8000以下のキャラ1枚までを、KOする。【カウンター】自分のリーダー1枚までを、このバトル中、パワー+3000。,,ブースターパック 王族の血統【OP-10】
ゴムゴムのUFO,OP10-020,OP10-020,EVENT,UC,2,,-,0,赤,3,パンクハザード/麦わらの一味,【メイン】相手のキャラ1枚までを、このターン中、パワー-4000。その後、自分のライフが2枚以下の場合、自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,【トリガー】相手のパワー3000以下のキャラ1枚までを、KOする。,ブースターパック 王族の血統【OP-10】
パンクハザード,OP10-021,OP10-021,STAGE,C,1,,-,0,赤,3,パンクハザード,【起動メイン】このステージをレストにできる：自分のリーダーが「シーザー・クラウン」の場合、自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,ブースターパック 王族の血統【OP-10】
トラファルガー・ロー,OP10-022,OP10-022,LEADER,L,-,斬,5000,0,緑/黄,3,ドレスローザ/超新星/ハートの海賊団,【ドン‼×1】【起動メイン】【ターン1回】自分のキャラのコストの合計が5以上の場合、自分のキャラ1枚を、持ち主の手札に戻すことができる：自分のライフの上から1枚を公開し、そのカードがコスト5以下の特徴《超新星》を持つキャラカードの場合、登場させてもよい。,,ブースターパック 王族の血統【OP-10】
イッショウ,OP10-023,OP10-023,CHARACTER,C,5,斬,6000,1000,緑,3,ドレスローザ/海軍,【登場時】自分のリーダーが特徴《海軍》を持つ場合、相手のコスト5以下のキャラ2枚までを、レストにする。,,ブースターパック 王族の血統【OP-10】
エドワード・ニューゲート,OP10-024,OP10-024,CHARACTER,C,5,特,6000,1000,緑,3,ODYSSEY/四皇/白ひげ海賊団,【登場時】自分のレストのキャラが2枚以上いる場合、相手のコスト5以下のキャラ1枚までを、レストにする。その後、相手のレストのコスト3以下のキャラ1枚までを、KOする。,,ブースターパック 王族の血統【OP-10】
エネル,OP10-025,OP10-025,CHARACTER,R,5,特,6000,1000,緑,3,ODYSSEY/空島,【登場時】自分のレストのキャラが2枚以上いる場合、カード3枚を引き、自分の手札2枚を捨てる。,,ブースターパック 王族の血統【OP-10】
錦えもん,OP10-026,OP10-026,CHARACTER,C,2,斬,1000,1000,緑,3,パンクハザード/ワノ国/赤鞘九人男,【起動メイン】このキャラと自分のトラッシュからパワー0の「錦えもん」1枚を好きな順番でデッキの下に置くことができる：自分の手札からコスト6の「錦えもん」1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
錦えもん,OP10-027,OP10-027,CHARACTER,UC,2,斬,-,2000,緑,3,パンクハザード/ワノ国/赤鞘九人男,【起動メイン】このキャラと自分のトラッシュからパワー1000の「錦えもん」1枚を好きな順番でデッキの下に置くことができる：自分の手札からコスト6の「錦えもん」1枚までを、登場させる。,,ブースターパック 王族の血統【OP-10】
光月モモの助,OP10-028,OP10-028,CHARACTER,UC,1,特,1000,1000,緑,3,パンクハザード/ワノ国/光月家,【起動メイン】自分のドン‼2枚をレストにし、このキャラをトラッシュに置くことができる：自分のデッキの上から5枚を見て、特徴《赤鞘九人男》を持つカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 王族の血統【OP-10】
ジュラキュール・ミホーク,OP10-029,OP10-029,CHARACTER,R,5,斬,6000,1000,緑,3,ODYSSEY/王下七武海,【登場時】自分のレストのキャラが2枚以上いる場合、自分のレストのコスト5以下の特徴《ODYSSEY》を持つキャラ1枚までを、アクティブにする。,,ブースターパック 王族の血統【OP-10】
スモーカー,OP10-030,OP10-030,CHARACTER,SR,5,斬,7000,0,緑,3,パンクハザード/海軍,【バニッシュ】(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる)【起動メイン】自分のドン‼1枚までを、アクティブにする。その後、自分はこのターン中、キャラの効果でドン‼をアクティブにできない。,,ブースターパック 王族の血統【OP-10】
センゴク,OP10-031,OP10-031,CHARACTER,C,5,知,7000,1000,緑,3,ドレスローザ/海軍,-,,ブースターパック 王族の血統【OP-10】
たしぎ,OP10-032,OP10-032,CHARACTER,SR,3,特,4000,2000,緑,3,パンクハザード/海軍,「たしぎ」以外の自分の緑のキャラが相手の効果で場を離れる場合、代わりにこのキャラをレストにできる。,,ブースターパック 王族の血統【OP-10】
ナミ,OP10-033,OP10-033,CHARACTER,UC,2,特,2000,2000,緑,3,ODYSSEY/麦わらの一味,【登場時】自分のレストの特徴《ODYSSEY》を持つキャラが2枚以上いる場合、相手のレストのドン‼1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 王族の血統【OP-10】
フランキー,OP10-034,OP10-034,CHARACTER,C,4,打,5000,1000,緑,3,ODYSSEY/麦わらの一味,【ターン1回】このキャラがバトルでKOされる場合、代わりに自分のライフの上から1枚を手札に加えてもよい。,,ブースターパック 王族の血統【OP-10】
ブルック,OP10-035,OP10-035,CHARACTER,C,3,斬,5000,0,緑,3,ODYSSEY/麦わらの一味,【KO時】相手の、リーダーかコスト5以下のキャラ1枚までを、レストにする。,,ブースターパック 王族の血統【OP-10】
ペローナ,OP10-036,OP10-036,CHARACTER,C,4,特,5000,1000,緑,3,ODYSSEY/シッケアール王国/スリラーバーク海賊団,【自分のターン中】【ターン1回】キャラが自分の効果でレストになった時、自分のドン!!1枚までを、アクティブにする。,,ブースターパック 王族の血統【OP-10】
リム,OP10-037,OP10-037,CHARACTER,R,1,知,-,1000,緑,3,ODYSSEY,【ターン1回】このキャラが相手の効果で場を離れる場合、代わりに自分の特徴《ODYSSEY》を持つキャラ1枚をレストにできる。【自分のターン終了時】自分の特徴《ODYSSEY》を持つキャラ1枚までを、アクティブにする。,,ブースターパック 王族の血統【OP-10】
ロロノア・ゾロ,OP10-038,OP10-038,CHARACTER,C,5,斬,6000,1000,緑,3,ODYSSEY/超新星/麦わらの一味,【相手のターン中】自分のレストのキャラが2枚以上いる場合、このキャラのパワー+2000。,,ブースターパック 王族の血統【OP-10】
ゴムゴムの龍火炎銃巻き星,OP10-039,OP10-039,EVENT,UC,3,,-,0,緑,3,ODYSSEY/超新星/麦わらの一味,【メイン】自分のリーダーが特徴《ODYSSEY》を持つ場合、自分のデッキの上から5枚を見て、特徴《ODYSSEY》を持つキャラカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】相手のコスト5以下のキャラ1枚までを、レストにする。,ブースターパック 王族の血統【OP-10】
弱ェ奴は死に方も選べねェ,OP10-040,OP10-040,EVENT,C,5,,-,0,緑,3,パンクハザード/王下七武海/ハートの海賊団,【メイン】/【カウンター】相手のレストのコスト7以下のキャラ1枚までを、KOする。,,ブースターパック 王族の血統【OP-10】
ラジオナイフ,OP10-041,OP10-041,EVENT,R,4,,-,0,緑,3,ドレスローザ/超新星/ハートの海賊団,【メイン】相手のコスト6以下のキャラ1枚までを、レストにする。その後、相手のレストのコスト5以下のキャラ1枚までを、KOする。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,ブースターパック 王族の血統【OP-10】
ウソップ,OP10-042,OP10-042,LEADER,L,-,射,5000,0,青/黒,3,ドレスローザ/麦わらの一味,自分のコスト2以上の特徴《ドレスローザ》を持つキャラすべてを、コスト+1。【相手のターン中】【ターン1回】自分の特徴《ドレスローザ》を持つキャラがKOされた時か、相手の効果で場を離れた時、発動できる。自分の手札が5枚以下の場合、カード1枚を引く。,,ブースターパック 王族の血統【OP-10】
ウーシー,OP10-043,OP10-043,CHARACTER,C,2,打,2000,2000,青,3,動物/ドレスローザ,【登場時】自分の特徴《ドレスローザ》を持つ、リーダーかステージ1枚を、レストにできる：自分のキャラの「モンキー・D・ルフィ」1枚までは、このターン中、【バニッシュ】を得る。,,ブースターパック 王族の血統【OP-10】
カブ,OP10-044,OP10-044,CHARACTER,UC,1,斬,2000,1000,青,3,トンタッタ族/ドレスローザ,【登場時】自分の特徴《ドレスローザ》を持つ、リーダーかステージ1枚を、レストにできる：相手のコスト1以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 王族の血統【OP-10】
キャベンディッシュ,OP10-045,OP10-045,CHARACTER,R,4,斬,6000,0,青,3,ドレスローザ/美しき海賊団,【アタック時】【ターン1回】カード2枚を引き、自分の手札1枚を捨てる。,,ブースターパック 王族の血統【OP-10】
キュロス,OP10-046,OP10-046,CHARACTER,SR,7,斬,9000,0,青,3,ドレスローザ,【登場時】コスト5以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 王族の血統【OP-10】
コアラ,OP10-047,OP10-047,CHARACTER,UC,2,打,3000,1000,青,3,ドレスローザ/革命軍,【アタック時】自分のコスト3以上の特徴《革命軍》を持つキャラ1枚を持ち主の手札に戻すことができる：このキャラは、このターン中、パワー+3000。,,ブースターパック 王族の血統【OP-10】
サイ,OP10-048,OP10-048,CHARACTER,C,3,斬,5000,0,青,3,ドレスローザ/八宝水軍,【登場時】自分の特徴《ドレスローザ》を持つ、リーダーかステージ1枚を、レストにできる：相手のコスト1以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 王族の血統【OP-10】
サボ,OP10-049,OP10-049,CHARACTER,R,4,特,5000,2000,青,3,ドレスローザ/革命軍,「サボ」以外の自分の元々のコスト7以下のキャラが相手の効果で場を離れる場合、代わりにこのキャラを持ち主の手札に戻すことができる。,,ブースターパック 王族の血統【OP-10】
ハイルディン,OP10-050,OP10-050,CHARACTER,C,7,打,9000,1000,青,3,巨人族/ドレスローザ/新巨兵海賊団,-,,ブースターパック 王族の血統【OP-10】
ハック,OP10-051,OP10-051,CHARACTER,UC,4,打,5000,1000,青,3,魚人族/ドレスローザ/革命軍,【ドン‼×1】【アタック時】自分のデッキの上から3枚を見て、特徴《革命軍》を持つキャラカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 王族の血統【OP-10】
バルトロメオ,OP10-052,OP10-052,CHARACTER,C,5,特,6000,0,青,3,ドレスローザ/バルトクラブ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】コスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,ブースターパック 王族の血統【OP-10】
ビアン,OP10-053,OP10-053,CHARACTER,C,1,斬,1000,1000,青,3,トンタッタ族/ドレスローザ,「ビアン」以外の自分の特徴《トンタッタ族》を持つキャラがいる場合、このキャラは【ブロッカー】を得る。,,ブースターパック 王族の血統【OP-10】
ブルーギリー,OP10-054,OP10-054,CHARACTER,C,3,打,5000,1000,青,3,ドレスローザ,-,,ブースターパック 王族の血統【OP-10】
マルコ,OP10-055,OP10-055,CHARACTER,R,3,特,5000,0,青,3,白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 王族の血統【OP-10】
マンシェリー,OP10-056,OP10-056,CHARACTER,UC,2,特,-,1000,青,3,トンタッタ族/ドレスローザ,【登場時】自分の特徴《ドレスローザ》を持つ、リーダーかステージ1枚を、レストにし、自分のコスト4以上の特徴《ドレスローザ》を持つキャラ1枚を持ち主の手札に戻すことができる：相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 王族の血統【OP-10】
レオ,OP10-057,OP10-057,CHARACTER,R,1,打,2000,1000,青,3,トンタッタ族/ドレスローザ,【登場時】自分の、リーダーかステージ1枚を、レストにできる：自分のリーダーが「ウソップ」の場合、自分のデッキの上から5枚を見て、「レオ」以外の特徴《ドレスローザ》を持つカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分の手札1枚を捨てる。,,ブースターパック 王族の血統【OP-10】
レベッカ,OP10-058,OP10-058,CHARACTER,SR,7,斬,4000,1000,青,3,ドレスローザ,【登場時】コスト8以上のキャラがいる場合、カード1枚を引く。その後、自分の手札から、「レベッカ」以外の特徴《ドレスローザ》を持つコスト7以下のキャラカード2枚までを、公開する。公開したカードのうち1枚を登場させ、残りがコスト4以下ならレストで登場させる。,,ブースターパック 王族の血統【OP-10】
おまえ…タチ…わ…おれ…が…み…ち…び…く…!!!,OP10-059,OP10-059,EVENT,R,1,,-,0,青,3,ドレスローザ/麦わらの一味,【メイン】自分のデッキの上から5枚を見て、特徴《ドレスローザ》を持つキャラカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,ブースターパック 王族の血統【OP-10】
バリバリの銃,OP10-060,OP10-060,EVENT,C,5,,-,0,青,3,ドレスローザ/バルトクラブ,【メイン】相手のパワー6000以下のキャラ1枚までを、持ち主のデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,ブースターパック 王族の血統【OP-10】
必殺!!遠距離“蓑虫星”,OP10-061,OP10-061,EVENT,UC,3,,-,0,青,3,ドレスローザ/麦わらの一味,【メイン】カード1枚を引く。その後、相手のコスト2以下のキャラ1枚までを、持ち主の手札に戻す。,【トリガー】コスト2以下のキャラ1枚までを、持ち主の手札に戻す。,ブースターパック 王族の血統【OP-10】
ヴァイオレット,OP10-062,OP10-062,CHARACTER,R,3,特,4000,1000,紫,3,ドンキホーテ海賊団,【ブロッカー】【KO時】ドン‼-1：自分のリーダーが特徴《ドンキホーテ海賊団》を持つ場合、自分のトラッシュから紫のイベント1枚までを、手札に加える。,,ブースターパック 王族の血統【OP-10】
